epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,2572.53,0.00636,0.65271,0.06626,0.85082,0.8967,0.92198,0.68492,0.00595,0.68584,0.06642,0.000187516,0.000187516,0.000187516
127,2593.67,0.00635,0.6503,0.06634,0.84818,0.90138,0.92376,0.68748,0.00596,0.68559,0.06651,0.000185016,0.000185016,0.000185016
128,2614.86,0.00633,0.6459,0.0662,0.85015,0.89866,0.92202,0.68774,0.00594,0.68848,0.06653,0.000182516,0.000182516,0.000182516
129,2636.34,0.00629,0.6419,0.06619,0.84556,0.90067,0.92015,0.68709,0.00592,0.69004,0.06636,0.000180016,0.000180016,0.000180016
130,2656.35,0.00628,0.64097,0.06612,0.84844,0.89206,0.921,0.68886,0.00591,0.68603,0.06635,0.000177516,0.000177516,0.000177516
131,2675.42,0.00631,0.64752,0.06609,0.8548,0.89035,0.92344,0.6879,0.00596,0.68444,0.06651,0.000175016,0.000175016,0.000175016
132,2693.6,0.0063,0.64382,0.06631,0.86706,0.87493,0.91961,0.68653,0.00594,0.68883,0.06647,0.000172516,0.000172516,0.000172516
133,2712.03,0.00634,0.64491,0.06629,0.8517,0.88903,0.92013,0.68921,0.00593,0.68915,0.06638,0.000170017,0.000170017,0.000170017
134,2730.32,0.00633,0.64711,0.06638,0.81896,0.9154,0.91739,0.68746,0.00592,0.69125,0.06646,0.000167517,0.000167517,0.000167517
135,2748.87,0.00632,0.63927,0.0661,0.84959,0.88141,0.91745,0.68654,0.00589,0.69186,0.06626,0.000165017,0.000165017,0.000165017
136,2767.32,0.00634,0.63989,0.06623,0.83183,0.90643,0.91993,0.68838,0.00593,0.69164,0.06639,0.000162517,0.000162517,0.000162517
137,2785.58,0.00626,0.6366,0.06585,0.84273,0.89566,0.9202,0.68989,0.00587,0.68544,0.06594,0.000160017,0.000160017,0.000160017
138,2803.95,0.00624,0.63228,0.0659,0.85412,0.88262,0.91983,0.69068,0.00588,0.68736,0.06618,0.000157517,0.000157517,0.000157517
139,2822.35,0.00632,0.64126,0.06614,0.8496,0.89701,0.92067,0.69087,0.00588,0.68627,0.06605,0.000155017,0.000155017,0.000155017
140,2840.67,0.00627,0.64033,0.06617,0.85177,0.89701,0.92051,0.68999,0.0059,0.68871,0.06629,0.000152517,0.000152517,0.000152517
141,2858.79,0.0063,0.63457,0.06587,0.8444,0.89612,0.91481,0.68333,0.00591,0.69841,0.06617,0.000150018,0.000150018,0.000150018
142,2878.44,0.00624,0.62864,0.06586,0.86115,0.87416,0.91509,0.68501,0.00589,0.69319,0.06602,0.000147518,0.000147518,0.000147518
143,2899.08,0.00624,0.62484,0.06589,0.842,0.89683,0.9149,0.68604,0.00589,0.69416,0.06608,0.000145018,0.000145018,0.000145018
144,2920.64,0.00624,0.63323,0.06582,0.84791,0.89399,0.91447,0.68645,0.00589,0.69175,0.06618,0.000142518,0.000142518,0.000142518
145,2945.04,0.00625,0.62884,0.06601,0.83921,0.89472,0.91599,0.68836,0.00586,0.68978,0.06623,0.000140018,0.000140018,0.000140018
146,2966.27,0.00628,0.63137,0.06596,0.85159,0.88586,0.91735,0.68732,0.00585,0.68746,0.06618,0.000137518,0.000137518,0.000137518
147,2987.13,0.00625,0.62602,0.06595,0.84291,0.90314,0.9195,0.69163,0.00587,0.69043,0.06613,0.000135018,0.000135018,0.000135018
148,3008.53,0.00619,0.62374,0.06585,0.8549,0.88707,0.91588,0.68758,0.00586,0.68722,0.06606,0.000132518,0.000132518,0.000132518
149,3029.45,0.0062,0.62456,0.06589,0.86366,0.88285,0.91767,0.68757,0.00585,0.68733,0.06598,0.000130019,0.000130019,0.000130019
150,3050.27,0.00625,0.62626,0.066,0.85707,0.8796,0.91421,0.68602,0.00583,0.6918,0.06609,0.000127519,0.000127519,0.000127519
151,3071.42,0.0062,0.61764,0.06604,0.83978,0.89733,0.915,0.68441,0.00583,0.69609,0.06615,0.000125019,0.000125019,0.000125019
152,3092.02,0.00617,0.61762,0.06575,0.85019,0.88594,0.91577,0.68679,0.0058,0.69677,0.06595,0.000122519,0.000122519,0.000122519
